item,itemLabel,twitter_username,user_id
http://www.wikidata.org/entity/Q71508,Charles M. Huber,http://www.wikidata.org/entity/statement/Q71508-CB44AF43-FE16-4D6A-B5DB-224D87560EEE,81142025
http://www.wikidata.org/entity/Q71528,Ska Keller,http://www.wikidata.org/entity/statement/Q71528-DAD3F0DE-1EC4-4029-ADCE-386067AEBF17,16600393
http://www.wikidata.org/entity/Q71533,Hans-Christian Ströbele,http://www.wikidata.org/entity/statement/Q71533-45D774D9-738E-4597-B8AF-D7C94F436F5B,304342650
http://www.wikidata.org/entity/Q71534,Hubertus Heil,http://www.wikidata.org/entity/statement/Q71534-DC5384EE-7AF2-4901-869C-CD8B7F438AAC,15943222
http://www.wikidata.org/entity/Q71635,Omid Nouripour,http://www.wikidata.org/entity/statement/Q71635-D0589D96-F1F2-4944-9A49-C9F19F3AE1EA,16674128
http://www.wikidata.org/entity/Q71660,Constanze Krehl,http://www.wikidata.org/entity/statement/Q71660-3FEDD0BE-39BC-4293-B5BD-5D7A4C2AF10E,2373681362
http://www.wikidata.org/entity/Q71674,Elmar Brok,http://www.wikidata.org/entity/statement/Q71674-D96C7122-BFDC-4AC0-AD25-58741BFBB5CC,2870350006
http://www.wikidata.org/entity/Q77761,Daniel Caspary,http://www.wikidata.org/entity/statement/Q77761-DC198CD8-CD10-4F39-BFE5-A1428A8FC7BE,17780822
http://www.wikidata.org/entity/Q78194,Andreas Schwab,http://www.wikidata.org/entity/statement/Q78194-3301FAED-8FF3-4B88-BC40-A0E2FDB93B02,31099936
http://www.wikidata.org/entity/Q78198,Alexander Radwan,http://www.wikidata.org/entity/statement/Q78198-E3118FE9-D3B6-49DE-96BA-CF19E08A2BD3,2831760211
http://www.wikidata.org/entity/Q78202,Markus Pieper,http://www.wikidata.org/entity/statement/Q78202-3A79FE8B-0431-48C8-897D-8FCC28619E9C,2979616235
http://www.wikidata.org/entity/Q78205,Armin Laschet,http://www.wikidata.org/entity/statement/Q78205-f6f9a576-4602-0ef0-babe-f09a1776621b,835541664
http://www.wikidata.org/entity/Q78330,Annette Groth,http://www.wikidata.org/entity/statement/Q78330-6EC5DE19-D2F5-494C-8857-E7BD72958E9F,t2247358137
http://www.wikidata.org/entity/Q78415,Monika Hohlmeier,http://www.wikidata.org/entity/statement/Q78415-BAB78575-4E13-44AE-B2EE-03AC7A8D0BB5,2904048473
http://www.wikidata.org/entity/Q74133,Barbara Lochbihler,http://www.wikidata.org/entity/statement/Q74133-995a40f7-4e86-0172-b287-54a603dc45fc,815107976
http://www.wikidata.org/entity/Q74151,Thomas Mann,http://www.wikidata.org/entity/statement/Q74151-5AAFA835-F0E9-405E-B0F6-D050F452F1EF,3307144396
http://www.wikidata.org/entity/Q74168,Herbert Reul,http://www.wikidata.org/entity/statement/Q74168-FF640C2F-42BF-41CC-ABFC-339DC29DBDAD,38171370
http://www.wikidata.org/entity/Q74186,Godelieve Quisthoudt-Rowohl,http://www.wikidata.org/entity/statement/Q74186-7A33966B-E66F-488C-BB5F-06A5088878F6,3072156455
http://www.wikidata.org/entity/Q74191,Evelyne Gebhardt,http://www.wikidata.org/entity/statement/Q74191-5f1b8f1b-453a-910f-eb27-65443e05a52e,837214737154846720
http://www.wikidata.org/entity/Q74215,Angelika Niebler,http://www.wikidata.org/entity/statement/Q74215-7FECCFCF-C7C7-4E81-A0C7-C8185B32650F,886420428
http://www.wikidata.org/entity/Q74218,Ruprecht Polenz,http://www.wikidata.org/entity/statement/Q74218-097b0ce3-4701-38be-760f-3a8c923cb419,3082383264
http://www.wikidata.org/entity/Q74408,Anja Hajduk,http://www.wikidata.org/entity/statement/Q74408-520DF9DB-9D2C-4F3D-960A-26BEDC76BE9A,4724923756
http://www.wikidata.org/entity/Q75077,Helge Limburg,http://www.wikidata.org/entity/statement/Q75077-b0eed161-413c-d968-77f9-bcabe67cb070,63687144
http://www.wikidata.org/entity/Q75194,Ismail Ertug,http://www.wikidata.org/entity/statement/Q75194-FE4C5D3A-B994-4F5B-BF2A-548D6A38D696,578240398
http://www.wikidata.org/entity/Q75408,Lothar Binding,http://www.wikidata.org/entity/statement/Q75408-7F057CC7-077A-4ED3-87AA-FE06BDF60E47,2617281050
http://www.wikidata.org/entity/Q89569,Daniel Zimmermann,http://www.wikidata.org/entity/statement/Q89569-b9fc7368-81ac-4e77-ade7-2e0c5a23023c,19716109
http://www.wikidata.org/entity/Q89578,Ralf Stegner,http://www.wikidata.org/entity/statement/Q89578-dd77639c-4307-cbef-a988-481b68c29048,16808099
http://www.wikidata.org/entity/Q71763,Alexander Graf Lambsdorff,http://www.wikidata.org/entity/statement/Q71763-99A91F51-B77B-47EC-A2FC-1B21B3DC5C6F,149299258
http://www.wikidata.org/entity/Q72580,Jan Philipp Albrecht,http://www.wikidata.org/entity/statement/Q72580-c9f71cd1-4e73-e702-ad33-e6e13c7f768e,17131762
http://www.wikidata.org/entity/Q72845,Manuela Schwesig,http://www.wikidata.org/entity/statement/Q72845-61b7f563-4a4f-f53f-b536-e3cb9402f652,1627905570
http://www.wikidata.org/entity/Q73500,Philipp Mißfelder,http://www.wikidata.org/entity/statement/Q73500-A0D85E57-9615-49F1-9790-A613C91DF861,20677269
http://www.wikidata.org/entity/Q95516,Joachim Zeller,http://www.wikidata.org/entity/statement/Q95516-DD0DC050-B817-4B73-A7A6-FD2339047D20,42593866
http://www.wikidata.org/entity/Q76265,Franziska Brantner,http://www.wikidata.org/entity/statement/Q76265-78ED9353-C9EA-490B-98BE-510DC6E6A18F,32323724
http://www.wikidata.org/entity/Q76342,Katja Kipping,http://www.wikidata.org/entity/statement/Q76342-ECC15424-BCA0-45C8-84AD-5E8EF479750B,28066013
http://www.wikidata.org/entity/Q76531,Sebastian Nerz,http://www.wikidata.org/entity/statement/Q76531-3a7955f8-23f1-4e53-a8d8-f14d0f15fbe1,56118316
http://www.wikidata.org/entity/Q76837,Daniel Cohn-Bendit,http://www.wikidata.org/entity/statement/Q76837-e3ce1f3c-48a3-0283-4464-c233d71c06de,23341062
http://www.wikidata.org/entity/Q77193,Sahra Wagenknecht,http://www.wikidata.org/entity/statement/Q77193-965ac355-4473-2dbf-8a60-888ca60cc9fd,47375691
http://www.wikidata.org/entity/Q77195,Petra Pau,http://www.wikidata.org/entity/statement/Q77195-ADD352BA-77D7-4CAC-B722-5D65C6D4F746,1683845126
http://www.wikidata.org/entity/Q77195,Petra Pau,http://www.wikidata.org/entity/statement/Q77195-EAF1DF20-5F00-478A-8FD1-DB6198880360,560467206
http://www.wikidata.org/entity/Q77240,Feleknas Uca,http://www.wikidata.org/entity/statement/Q77240-703bd7d1-4c04-98fd-eab3-8f39cdfed802,257406853
http://www.wikidata.org/entity/Q77555,Erzherzogin Walburga von Österreich,http://www.wikidata.org/entity/statement/Q77555-38a6f83a-4948-59b8-05eb-e5a9e63e21d2,36810604
http://www.wikidata.org/entity/Q77684,Sevim Dağdelen,http://www.wikidata.org/entity/statement/Q77684-88A68A07-DE7A-4238-BF3D-7C003F0D7ADE,139407967
http://www.wikidata.org/entity/Q77685,Özcan Mutlu,http://www.wikidata.org/entity/statement/Q77685-9C182D66-4CEB-4DAF-B82E-2BBEABE7AB90,73088949
http://www.wikidata.org/entity/Q84687,Sven Giegold,http://www.wikidata.org/entity/statement/Q84687-146A6103-FED0-4146-A4A7-D6C905614E43,16705726
http://www.wikidata.org/entity/Q84698,Wolfgang Wodarg,http://www.wikidata.org/entity/statement/Q84698-7BE98531-0977-4E0B-9C83-48C61CDB7367,21087719
http://www.wikidata.org/entity/Q85199,Bernd Hüttemann,http://www.wikidata.org/entity/statement/Q85199-FF9E0272-151B-4D74-9E88-7F1FA0F14E6C,17039236
http://www.wikidata.org/entity/Q85342,Burkhard Balz,http://www.wikidata.org/entity/statement/Q85342-1038441F-CD8A-4562-941E-926C053E4646,t2330982897
http://www.wikidata.org/entity/Q85342,Burkhard Balz,http://www.wikidata.org/entity/statement/Q85342-859FC139-2029-4606-B859-6B7DF5423F41,37523381
http://www.wikidata.org/entity/Q85528,Albert Deß,http://www.wikidata.org/entity/statement/Q85528-89F36AC1-3502-4FF8-A161-B20A0E107E6A,3193919883
http://www.wikidata.org/entity/Q85545,Werner Langen,http://www.wikidata.org/entity/statement/Q85545-F491E8E8-393B-4081-87FC-00B3E7F3E869,1030730444
http://www.wikidata.org/entity/Q85551,Ingeborg Gräßle,http://www.wikidata.org/entity/statement/Q85551-6A57364B-BA70-4F3E-8676-98645791A6AE,429065822
http://www.wikidata.org/entity/Q85566,Peter Liese,http://www.wikidata.org/entity/statement/Q85566-0B6B7E72-8A83-492C-B7B5-07230401D1DC,42590805
http://www.wikidata.org/entity/Q85606,Achim Steiner,http://www.wikidata.org/entity/statement/Q85606-88AE6DE1-93B6-41F4-8875-760699B7D04E,3232924232
http://www.wikidata.org/entity/Q85662,Dagmar Wöhrl,http://www.wikidata.org/entity/statement/Q85662-C0551246-60BE-44A2-8443-E863744CCCCF,28525166
http://www.wikidata.org/entity/Q85676,Markus Ferber,http://www.wikidata.org/entity/statement/Q85676-5F060ED6-0DDB-485D-8317-EF20C56F319C,1949513514
http://www.wikidata.org/entity/Q85773,Anja Weisgerber,http://www.wikidata.org/entity/statement/Q85773-76938BAF-57A6-40E0-866A-01E6412A969D,133770069
http://www.wikidata.org/entity/Q85806,Christian Lindner,http://www.wikidata.org/entity/statement/Q85806-69bac5de-4c87-bab5-dfa3-b794f4ba8c75,122104353
http://www.wikidata.org/entity/Q85851,Dorothee Bär,http://www.wikidata.org/entity/statement/Q85851-9C180FF4-FF9F-40B3-A503-237B4347EC0F,140821364
http://www.wikidata.org/entity/Q86294,Jens Spahn,http://www.wikidata.org/entity/statement/Q86294-C4EC4874-94C8-4ACC-8BFA-A0D51C3A6E42,299650387
http://www.wikidata.org/entity/Q90275,Herlind Gundelach,http://www.wikidata.org/entity/statement/Q90275-8803E275-2573-48EF-858C-98C3ADAA60D2,550951920
http://www.wikidata.org/entity/Q90623,Thomas Bareiß,http://www.wikidata.org/entity/statement/Q90623-D63A0600-FFB6-425E-89AA-5E3D59730043,2797812265
http://www.wikidata.org/entity/Q90833,Thomas Oppermann,http://www.wikidata.org/entity/statement/Q90833-23C82EF9-3A45-4BC7-A024-F85F1B598FF2,293066780
http://www.wikidata.org/entity/Q91081,Sören Bartol,http://www.wikidata.org/entity/statement/Q91081-F3CFCFA9-0616-4CFE-9C3B-2F4EFC0AC098,57293969
http://www.wikidata.org/entity/Q91181,Jutta Ditfurth,http://www.wikidata.org/entity/statement/Q91181-b2cf33b6-47ba-d6b9-0a50-248ac12d706b,4714711828
